Symbol,Sector,Price,ADX,RSI,AdaptMom,% EMA200,Volume,Score,Gravity,Zone,🔮Future,🧠CPI,🏛️IET,🐳Whale,Phase/Signals,Signal,Direction,Confidence%,SmartRank,Action,Timeframe,Entry,Stop,Target,Size,WinRate%,R:R,🔥InstConf,ATR Risk,Trend,ATR,VWAP%,VolZ,Signal Reason,🛡️Guard
ISPH,ENERGY,11.58,18.9,47,-1.0,+11.6%,0.4x,5,▫️ LIGHT,🔴 LATE,0.86,0.40,0.85,0.78,🟡🔵BASE,🥇 → 👀 WATCH,⏸️ NEUTRAL,87.1%,22.64,PROBE,📆 Position (wks),11.52,11.17,12.62,285,⌛ Building,3.1x,🔥 ELITE,⚠️ HIGH,→,0.54,-5.9%,-0.7,Accumulation phase | Vol base building,✅ OK
HELI,REAL_ESTATE,5.17,45.6,81,+19.3,-8.6%,1.1x,6,▫️ LIGHT,🟡 MID,0.48,0.37,0.45,0.50,🔵🔀BEAR_DIV,🥈 → 👀 WATCH ⚠️OB,⏸️ NEUTRAL,83.9%,21.60,PROBE,⚡ Intraday,5.14,4.94,5.64,500,⌛ Building,2.5x,🔥 ELITE,⚠️ HIGH,→,0.26,16.1%,0.2,Expansion phase | ADX strong (46) | ⚠️ RSI Overbought (81),✅ OK
FAIT,BANKS,33.09,19.7,49,-3.2,+4.1%,0.3x,9,▫️ LIGHT,🟡 MID,0.67,0.39,0.65,0.56,🟡🧿🔵BASE,🥉 → 🛡️ BLOCKED,📈 BULLISH,78.7%,20.24,WAIT 🛡️,📆 Position (wks),32.92,31.93,36.07,101,⌛ Building,3.2x,🔥 ELITE,⚠️ HIGH,→,1.26,-2.6%,-0.8,Accumulation phase | RSI healthy zone | Vol base building,Sector cap: BANKS already has 3 signal(s) (max 2)
ABUK,ENERGY,67.80,25.7,57,+0.8,+29.4%,0.8x,11,🧲 BUILDING,🟢 EARLY,0.19,0.10,0.20,0.11,🔴🧿🔵BASE,#4 → 🛡️ BLOCKED,📈 BULLISH,70.4%,18.47,WAIT 🛡️,📅 Swing (3-10d),67.46,64.75,73.90,36,⌛ Building,2.4x,🔥 ELITE,⚠️ HIGH,→,3.30,-1.3%,-0.5,RSI healthy zone | Vol base building,Sector cap: ENERGY already has 6 signal(s) (max 2)
SAUD,BANKS,18.51,32.7,57,+1.4,+26.7%,0.1x,11,▫️ LIGHT,🟢 EARLY,0.19,0.10,0.20,0.11,🔴🧿🔵BASE,#5 → 🛡️ BLOCKED,📈 BULLISH,66.4%,17.72,WAIT 🛡️,📅 Swing (3-10d),18.42,17.68,20.18,135,⌛ Building,2.4x,🔥 ELITE,⚠️ HIGH,→,0.73,1.1%,-1.4,ADX strong (33) | RSI healthy zone | Vol base building,Sector cap: BANKS already has 3 signal(s) (max 2)
EAST,ENERGY,39.99,12.6,49,+0.8,+7.8%,0.4x,7,▫️ LIGHT,🟢 EARLY,0.43,0.10,0.45,0.28,🔴🧿⚠️CLIMAX_SELL,#6 → ⏳ WAIT (ADX),⏸️ NEUTRAL,52.6%,15.42,WAIT,📆 Position (wks),39.79,38.59,43.59,83,—,3.2x,🔥 ELITE,⚠️ HIGH,→,1.58,-2.2%,-0.5,ADX weak (13) | RSI healthy zone | ⚠️ Climax sell volume,✅ OK
MFPC,ENERGY,36.01,39.5,59,+0.6,+11.6%,0.7x,11,▫️ LIGHT,🟢 EARLY,0.29,0.10,0.30,0.11,🔴🧿⚠️CLIMAX_SELL,#7 → 🛡️ BLOCKED,📈 BULLISH,50.1%,15.01,WAIT 🛡️,⚡ Intraday,35.83,34.39,39.25,69,⌛ Building,2.4x,🔥 ELITE,⚠️ HIGH,→,1.59,1.7%,-0.4,ADX strong (40) | RSI healthy zone | ⚠️ Climax sell volume,Sector cap: ENERGY already has 6 signal(s) (max 2)
FWRY,SERVICES,17.70,35.7,43,-7.8,+20.5%,0.6x,5,▫️ LIGHT,🔴 LATE,0.19,0.11,0.20,0.33,🔴🔵BASE,#8 → 👀 WATCH,⏸️ NEUTRAL,24.4%,10.49,WATCH_ONLY,⚡ Intraday,17.61,16.90,19.29,140,⌛ Building,2.4x,💎 STRONG,⚠️ HIGH,→,0.84,-8.4%,-0.8,ADX strong (36) | Vol base building | Weak momentum,✅ OK
AMOC,INDUSTRIAL,7.04,23.0,45,-1.9,+1.7%,0.4x,4,▫️ LIGHT,🔴 LATE,0.10,0.10,0.30,0.28,🔴🔵BASE,#9 → 👀 WATCH,⏸️ NEUTRAL,21.9%,9.93,WATCH_ONLY,📆 Position (wks),7.00,6.72,7.67,357,⌛ Building,2.4x,💎 STRONG,⚠️ HIGH,→,0.21,-2.3%,-0.5,Vol base building,✅ OK
PHDC,REAL_ESTATE,8.85,27.8,46,-5.1,+9.7%,0.3x,6,▫️ LIGHT,🔴 LATE,0.10,0.30,0.30,0.11,🔴⚠️CLIMAX_SELL,#10 → 👀 WATCH,⏸️ NEUTRAL,21.7%,9.86,WATCH_ONLY,📅 Swing (3-10d),8.81,8.45,9.65,277,⌛ Building,2.3x,💎 STRONG,⚠️ HIGH,→,0.42,-4.4%,-0.9,⚠️ Climax sell volume | Weak momentum,✅ OK
TMGH,REAL_ESTATE,83.22,31.6,41,-8.9,+19.1%,1.1x,5,▫️ LIGHT,🔴 LATE,0.14,0.15,0.15,0.33,🔴⚠️CLIMAX_SELL,#11 → 👀 WATCH,⏸️ NEUTRAL,17.2%,8.71,WAIT,📅 Swing (3-10d),82.80,79.48,90.71,30,—,2.4x,🧠 GOOD,⚠️ HIGH,→,3.63,-7.8%,0.2,ADX strong (32) | ⚠️ Climax sell volume | Weak momentum,✅ OK
ADIB,BANKS,39.99,35.0,55,-5.2,+28.3%,0.4x,7,▫️ LIGHT,🟡 MID,0.19,0.10,0.20,0.11,🔴🔵BASE,#12 → ⏳ WAIT (ADX),⏸️ NEUTRAL,16.7%,8.57,WAIT,📅 Swing (3-10d),39.79,38.19,43.59,62,—,2.4x,🧠 GOOD,⚠️ HIGH,→,2.38,-0.8%,-1.5,ADX strong (35) | RSI healthy zone | Vol base building,✅ OK
CIEB,BANKS,21.55,34.7,31,-4.8,+1.9%,0.5x,5,▫️ LIGHT,🔴 LATE,0.10,0.10,0.10,0.11,🔴🔕🔵BASE,#13 → 👀 WATCH,⏸️ NEUTRAL,16.7%,8.56,WAIT,📅 Swing (3-10d),21.44,20.58,23.49,116,—,2.4x,🧠 GOOD,⚠️ HIGH,→,0.97,-9.7%,-0.7,ADX strong (35) | RSI oversold | Bearish EMA cross,✅ OK
ETEL,SERVICES,88.83,47.4,51,-3.3,+47.9%,0.7x,5,▫️ LIGHT,🟡 MID,0.19,0.10,0.20,0.11,🔴🔵BASE,#14 → 👀 WATCH,⏸️ NEUTRAL,15.7%,8.29,WAIT,⚡ Intraday,88.39,84.83,96.82,28,—,2.4x,🧠 GOOD,⚠️ HIGH,→,5.91,-5.1%,-0.5,ADX strong (47) | RSI healthy zone | Vol base building,✅ OK
COMI,BANKS,128.25,28.8,44,-5.7,+20.0%,0.9x,6,▫️ LIGHT,🔴 LATE,0.00,0.12,0.00,0.11,🔴⚠️CLIMAX_SELL,#15 → 👀 WATCH,⏸️ NEUTRAL,13.2%,7.47,WAIT,📅 Swing (3-10d),127.61,122.48,139.79,19,—,2.4x,🧠 GOOD,⚠️ HIGH,→,4.54,-5.8%,-0.2,⚠️ Climax sell volume | Weak momentum,✅ OK
JUFO,SERVICES,26.78,27.5,41,-5.3,-1.9%,0.4x,3,▫️ LIGHT,🔴 LATE,0.00,0.45,0.50,0.61,🔴⚠️CLIMAX_SELL,#16 ↓ ❌ SELL,📉 BEARISH,34.7%,12.46,WATCH_ONLY,📅 Swing (3-10d),26.65,25.98,29.19,149,⌛ Building,3.8x,💎 STRONG,🟡 MED,→,0.99,-8.6%,-1.1,⚠️ Climax sell volume | Weak momentum | Below EMA200,✅ OK
SKPC,INDUSTRIAL,16.45,26.0,52,-2.4,-11.1%,0.7x,3,▫️ LIGHT,🟡 MID,0.00,0.28,0.30,0.11,🔴🔵BASE,#17 ↓ ❌ SELL,📉 BEARISH,28.5%,11.33,WATCH_ONLY,📅 Swing (3-10d),16.37,15.71,17.93,151,⌛ Building,2.4x,💎 STRONG,⚠️ HIGH,→,0.59,-0.3%,-0.5,RSI healthy zone | Vol base building | Weak momentum,✅ OK
ORWE,SERVICES,22.00,24.4,40,-2.5,-3.3%,0.3x,1,▫️ LIGHT,🔴 LATE,0.00,0.10,0.30,0.50,🔴🔕⚠️CLIMAX_SELL,#18 ↓ ❌ SELL,📉 BEARISH,15.6%,8.24,WAIT,📆 Position (wks),21.89,21.01,23.98,113,—,2.4x,🧠 GOOD,⚠️ HIGH,→,0.67,-6.3%,-0.7,Bearish EMA cross | ⚠️ Climax sell volume | Weak momentum,✅ OK
